1.068148;0.4577777;1.068148;0.4577777;0.4577777
23.80444;0.4577777;1.983703;0.4577777;0.4577777
94.1496;11.59703;1.983703;0.4577777;0.4577777
135.0444;7.477035;2.594074;0.4577777;0.4577777
104.8311;9.002961;3.051851;0.4577777;0.4577777
104.8311;9.613331;3.509629;0.4577777;0.4577777
81.48442;9.613331;3.051851;0.4577777;0.4577777
65.6148;9.002961;2.594074;0.4577777;0.4577777
49.1348;7.477035;2.594074;0.4577777;0.4577777
34.18073;5.493332;1.983703;0.4577777;0.4577777
20.59999;4.119999;1.983703;0.4577777;0.4577777
12.51259;2.594074;1.525926;0.4577777;0.4577777
7.019258;1.525926;1.068148;0.4577777;0.4577777
4.119999;1.068148;1.068148;0.4577777;0.4577777
3.509629;0.4577777;1.068148;0.4577777;0.4577777
3.509629;0.4577777;0.4577777;0.4577777;1.068148
4.119999;0.4577777;0.4577777;0.4577777;0.4577777
4.577776;0.4577777;0.4577777;0.4577777;0.4577777
4.577776;0.4577777;0.4577777;0.4577777;0.4577777
4.119999;0.4577777;0.4577777;0.4577777;0.4577777
3.509629;0.4577777;0.4577777;0.4577777;0.4577777
2.594074;0.4577777;0.4577777;0.4577777;0.4577777
1.068148;0.4577777;0.4577777;0.4577777;0.4577777
0.4577777;0.4577777;0.4577777;0.4577777;0.4577777
0.4577777;0.4577777;0.4577777;0.4577777;0.4577777
